snapshot_date,product_id,on_hand_qty,reorder_point,warehouse,stockout_risk
2024-11-11,P0034,63,26,WH-C,0
2024-10-03,P0020,64,72,WH-B,1
2025-02-23,P0078,74,64,WH-C,0
2024-07-12,P0060,63,32,WH-A,0
2024-10-23,P0058,71,25,WH-C,0
2024-12-01,P0075,55,54,WH-A,0
2024-06-06,P0094,61,50,WH-B,0
2024-07-11,P0067,65,61,WH-B,0
2025-02-11,P0002,63,72,WH-C,1
2024-01-14,P0050,58,56,WH-A,0
2024-05-20,P0014,55,62,WH-B,1
2024-07-23,P0056,62,23,WH-C,0
2024-01-01,P0093,61,61,WH-B,0
2025-01-12,P0069,62,23,WH-C,0
2024-04-30,P0044,63,79,WH-A,1
2024-04-18,P0046,62,64,WH-C,1
2024-12-10,P0006,72,27,WH-A,0
2024-04-26,P0008,58,57,WH-B,0
2024-10-03,P0039,57,30,WH-A,0
2024-12-11,P0103,63,21,WH-A,0
2024-11-28,P0108,64,37,WH-B,0
2024-11-24,P0093,57,37,WH-A,0
2024-02-07,P0103,61,41,WH-A,0
2024-02-03,P0044,66,31,WH-C,0
2024-05-08,P0027,69,36,WH-A,0
2024-01-16,P0016,63,70,WH-C,1
2024-07-29,P0091,63,36,WH-A,0
2024-06-14,P0039,59,55,WH-B,0
2024-08-21,P0104,70,48,WH-A,0
2024-05-05,P0001,57,68,WH-A,1
2024-07-23,P0109,75,35,WH-A,0
2024-05-20,P0051,79,60,WH-C,0
2024-03-22,P0063,56,30,WH-B,0
2024-09-29,P0033,65,63,WH-B,0
2024-10-09,P0120,74,62,WH-A,0
2024-12-14,P0050,57,64,WH-A,1
2025-01-02,P0103,71,41,WH-C,0
2024-10-22,P0054,70,49,WH-B,0
2024-10-15,P0027,69,27,WH-A,0
2024-01-24,P0081,78,65,WH-A,0
2024-02-16,P0079,65,37,WH-B,0
2024-12-07,P0086,66,65,WH-A,0
2024-04-07,P0019,77,35,WH-A,0
2024-05-29,P0028,62,66,WH-B,1
2024-03-02,P0023,64,73,WH-C,1
2024-03-22,P0064,71,39,WH-A,0
2024-11-21,P0100,62,58,WH-A,0
2024-04-19,P0113,57,27,WH-B,0
2024-07-07,P0039,58,49,WH-B,0
2024-03-04,P0112,61,57,WH-C,0
2024-10-11,P0049,54,48,WH-C,0
2024-11-01,P0059,66,32,WH-A,0
2024-05-31,P0020,56,36,WH-C,0
2024-11-25,P0061,56,59,WH-C,1
2024-04-10,P0111,63,62,WH-C,0
2024-10-17,P0009,64,36,WH-A,0
2024-11-02,P0117,61,28,WH-C,0
2025-02-10,P0023,61,21,WH-C,0
2024-04-07,P0109,60,78,WH-C,1
2024-02-09,P0007,66,61,WH-B,0
2024-04-20,P0031,79,73,WH-C,0
2024-02-21,P0060,75,43,WH-C,0
2024-03-12,P0115,63,40,WH-B,0
2024-05-20,P0061,56,65,WH-B,1
2024-06-22,P0075,77,21,WH-A,0
2025-01-14,P0104,64,24,WH-A,0
2024-03-23,P0081,57,36,WH-B,0
2025-02-12,P0100,71,43,WH-A,0
2024-12-06,P0026,62,27,WH-C,0
2025-01-05,P0100,70,49,WH-A,0
2025-01-25,P0082,67,69,WH-C,1
2024-11-12,P0054,56,41,WH-C,0
2024-11-27,P0031,61,78,WH-C,1
2024-07-02,P0113,73,43,WH-B,0
2024-08-02,P0099,61,45,WH-A,0
2025-01-26,P0041,67,27,WH-A,0
2024-06-07,P0028,59,31,WH-B,0
2024-01-18,P0090,61,33,WH-B,0
2024-11-16,P0006,65,49,WH-A,0
2024-08-28,P0034,63,74,WH-B,1
2024-12-08,P0092,75,54,WH-B,0
2024-02-01,P0108,61,50,WH-C,0
2024-09-17,P0111,60,47,WH-C,0
2024-04-14,P0009,65,65,WH-C,0
2025-01-14,P0093,69,46,WH-B,0
2024-02-16,P0098,60,55,WH-B,0
2024-12-20,P0012,62,20,WH-C,0
2024-02-07,P0016,64,60,WH-C,0
2024-01-11,P0071,75,33,WH-A,0
2024-04-08,P0031,68,77,WH-C,1
2024-05-19,P0033,71,29,WH-C,0
2024-09-20,P0117,73,69,WH-A,0
2024-02-25,P0007,58,61,WH-A,1
2024-07-02,P0003,62,26,WH-A,0
2024-03-26,P0020,61,59,WH-A,0
2024-12-25,P0005,72,33,WH-B,0
2024-01-19,P0067,66,55,WH-A,0
2024-05-29,P0111,62,46,WH-A,0
2024-09-22,P0038,75,30,WH-B,0
2025-01-18,P0079,57,61,WH-A,1
2024-12-30,P0099,61,68,WH-A,1
2025-01-10,P0056,64,56,WH-A,0
2024-01-27,P0023,71,61,WH-B,0
2024-12-19,P0097,66,29,WH-C,0
2024-11-23,P0002,62,73,WH-A,1
2025-01-14,P0100,68,26,WH-A,0
2024-05-10,P0021,61,36,WH-A,0
2025-01-17,P0078,67,71,WH-A,1
2024-06-18,P0014,67,31,WH-B,0
2024-09-23,P0062,74,56,WH-C,0
2024-06-27,P0106,58,56,WH-A,0
2024-06-28,P0011,64,74,WH-A,1
2024-08-17,P0004,76,55,WH-B,0
2024-05-29,P0047,73,77,WH-C,1
2024-11-28,P0116,54,26,WH-C,0
2024-09-23,P0094,84,43,WH-C,0
2024-10-16,P0100,71,53,WH-A,0
2024-04-07,P0020,57,20,WH-A,0
2025-02-11,P0052,63,48,WH-A,0
2024-10-04,P0016,65,45,WH-B,0
2024-03-23,P0098,53,29,WH-B,0
2024-11-11,P0045,65,20,WH-B,0
2024-03-13,P0008,65,64,WH-A,0
2024-01-27,P0109,71,36,WH-A,0
2024-08-09,P0062,54,60,WH-A,1
2024-08-20,P0084,58,55,WH-C,0
2024-03-20,P0021,62,28,WH-B,0
2024-05-26,P0064,55,58,WH-B,1
2025-02-01,P0104,70,42,WH-C,0
2024-04-29,P0030,67,48,WH-C,0
2024-03-06,P0036,68,21,WH-C,0
2025-02-20,P0005,65,37,WH-A,0
2024-05-06,P0085,55,47,WH-C,0
2024-10-12,P0038,64,72,WH-A,1
2024-04-07,P0087,75,66,WH-A,0
2024-08-19,P0019,76,61,WH-B,0
2024-06-11,P0074,67,68,WH-C,1
2025-02-07,P0027,79,26,WH-A,0
2024-06-30,P0099,72,30,WH-A,0
2024-09-02,P0013,62,26,WH-C,0
2025-01-31,P0009,67,62,WH-A,0
2025-02-19,P0017,71,43,WH-A,0
2024-02-12,P0095,71,74,WH-A,1
2024-12-16,P0106,78,75,WH-C,0
2024-06-09,P0044,54,34,WH-A,0
2024-09-06,P0045,62,50,WH-B,0
2024-06-06,P0088,84,70,WH-C,0
2024-06-17,P0042,77,38,WH-B,0
2024-03-07,P0051,72,75,WH-B,1
2024-08-28,P0117,84,76,WH-B,0
2024-08-17,P0083,77,29,WH-A,0
2024-03-20,P0058,66,67,WH-A,1
2024-08-15,P0113,56,71,WH-B,1
2025-02-12,P0058,76,27,WH-B,0
2024-10-27,P0030,62,20,WH-C,0
2024-07-21,P0005,79,21,WH-B,0
2025-01-19,P0008,61,48,WH-A,0
2024-08-29,P0037,84,61,WH-B,0
2024-02-26,P0047,61,29,WH-B,0
2024-08-17,P0100,64,61,WH-C,0
2024-03-17,P0089,77,28,WH-B,0
2024-11-18,P0045,71,69,WH-C,0
2025-02-10,P0113,65,50,WH-C,0
2024-05-31,P0005,73,51,WH-B,0
2024-07-01,P0097,55,21,WH-B,0
2024-06-26,P0063,74,43,WH-A,0
2024-04-29,P0086,66,56,WH-A,0
