po_id,po_date,supplier_id,product_id,ordered_qty,lead_time_days,late_flag
PO00001,2024-11-21,S018,P0096,406,23,0
PO00002,2025-01-14,S010,P0059,161,31,0
PO00003,2024-11-16,S019,P0011,131,30,0
PO00004,2024-12-12,S004,P0117,186,26,0
PO00005,2024-09-07,S010,P0099,281,15,0
PO00006,2025-01-07,S008,P0002,192,26,0
PO00007,2024-07-27,S009,P0046,487,12,0
PO00008,2025-02-19,S003,P0001,462,22,0
PO00009,2024-02-13,S002,P0070,406,9,0
PO00010,2024-12-05,S010,P0071,312,9,0
PO00011,2024-09-26,S005,P0066,406,11,0
PO00012,2024-08-31,S014,P0002,379,18,0
PO00013,2024-10-31,S016,P0111,269,17,0
PO00014,2024-12-18,S012,P0117,137,27,0
PO00015,2024-12-28,S004,P0069,202,5,0
PO00016,2024-03-14,S014,P0013,467,15,0
PO00017,2024-03-23,S017,P0019,489,33,0
PO00018,2024-01-07,S010,P0083,214,13,0
PO00019,2024-02-25,S002,P0047,35,10,0
PO00020,2024-04-20,S013,P0001,47,23,0
PO00021,2024-10-29,S004,P0099,143,33,0
PO00022,2024-07-18,S012,P0018,306,23,0
PO00023,2024-11-14,S005,P0113,343,26,0
PO00024,2024-07-23,S016,P0032,454,33,0
PO00025,2024-08-21,S014,P0096,93,8,0
PO00026,2024-02-16,S003,P0117,370,12,1
PO00027,2024-11-22,S016,P0072,158,28,1
PO00028,2024-11-14,S013,P0011,277,19,0
PO00029,2024-05-09,S005,P0020,75,22,1
PO00030,2024-05-18,S004,P0008,67,11,0
PO00031,2024-04-02,S017,P0092,450,23,0
PO00032,2024-12-07,S004,P0085,165,16,1
PO00033,2024-11-09,S017,P0102,49,22,0
PO00034,2024-09-12,S019,P0038,410,29,0
PO00035,2024-04-10,S015,P0006,294,15,0
PO00036,2024-03-13,S009,P0002,425,28,0
PO00037,2024-01-22,S004,P0074,385,3,0
PO00038,2024-01-20,S009,P0106,128,27,0
PO00039,2024-03-19,S013,P0073,448,26,1
PO00040,2024-02-12,S016,P0055,319,21,0
PO00041,2024-08-21,S004,P0003,177,11,0
PO00042,2024-05-30,S003,P0066,499,19,1
PO00043,2024-07-05,S020,P0100,328,17,0
PO00044,2024-09-06,S004,P0072,395,22,0
PO00045,2024-10-03,S016,P0073,496,7,0
PO00046,2024-09-29,S020,P0026,329,6,0
PO00047,2024-04-19,S011,P0098,185,6,1
PO00048,2024-12-06,S019,P0048,307,27,0
PO00049,2025-01-20,S016,P0094,69,17,1
PO00050,2024-05-12,S013,P0102,311,7,0
PO00051,2024-01-08,S002,P0008,343,19,0
PO00052,2025-01-12,S010,P0067,392,32,0
PO00053,2025-01-22,S009,P0075,190,9,0
PO00054,2024-01-22,S004,P0089,231,8,0
PO00055,2024-01-03,S005,P0116,132,17,0
