product_id,category,standard_cost,list_price,supplier_id,active_flag,margin_rate
P0001,Fasteners,64.91,64.3,S008,Y,-0.009
P0002,Electrical,18.93,289.06,S013,Y,0.935
P0003,Safety,61.49,199.96,S001,Y,0.692
P0004,,63.93,17.81,S016,Y,-2.59
P0005,Electrical,133.49,45.95,S007,Y,-1.905
P0006,Tools,117.66,217.37,S005,Y,0.459
P0007,Safety,160.6,16.54,S003,Y,-8.71
P0008,Safety,89.22,64.05,S012,Y,-0.393
P0009,Safety,28.57,182.36,S016,Y,0.843
P0010,Electrical,130.68,226.03,S019,Y,0.422
P0011,Fasteners,138.86,213.85,S005,Y,0.351
P0012,Safety,104.54,83.4,S014,Y,-0.253
P0013,Maintenance,140.61,232.21,S005,Y,0.394
P0014,Electrical,92.93,87.36,S015,Y,-0.064
P0015,Tools,97.91,114.25,S017,Y,0.143
P0016,Fasteners,81.54,242.68,S014,Y,0.664
P0017,Maintenance,12.37,213.14,S020,Y,0.942
P0018,Maintenance,26.56,274.01,S005,Y,0.903
P0019,Tools,13.41,215.57,S012,Y,0.938
P0020,Fasteners,117.46,188.33,S016,N,0.376
P0021,Electrical,62.07,43.57,S016,Y,-0.425
P0022,Industrial Supplies,95.47,127.15,S007,Y,0.249
P0023,Fasteners,164.1,95.89,S004,Y,-0.711
P0024,Tools,50.88,89.42,S001,N,0.431
P0025,Maintenance,78.59,311.77,S005,N,0.748
P0026,Electrical,137.95,134.89,S010,Y,-0.023
P0027,Fasteners,47.35,287.07,S005,Y,0.835
P0028,Industrial Supplies,21.24,207.5,S004,Y,0.898
P0029,Industrial Supplies,57.84,257.42,S002,Y,0.775
P0030,Safety,35.73,168.3,S020,Y,0.788
P0031,Safety,167.91,190.96,S010,Y,0.121
P0032,Tools,147.0,165.22,S019,Y,0.11
P0033,Fasteners,116.95,74.55,S001,Y,-0.569
P0034,Fasteners,157.89,235.35,S005,Y,0.329
P0035,Maintenance,146.23,100.64,S013,Y,-0.453
P0036,Maintenance,40.09,22.42,S004,Y,-0.788
P0037,Maintenance,161.52,211.87,S016,Y,0.238
P0038,Safety,100.77,69.02,S016,Y,-0.46
P0039,Fasteners,146.88,301.84,S002,Y,0.513
P0040,Fasteners,162.13,305.95,S017,Y,0.47
P0041,Industrial Supplies,62.7,294.03,S020,Y,0.787
P0042,,26.93,127.9,S012,Y,0.789
P0043,Electrical,47.2,19.71,S018,N,-1.395
P0044,,81.46,298.14,S003,Y,0.727
P0045,,148.7,145.6,S001,Y,-0.021
P0046,,156.05,309.83,S001,Y,0.496
P0047,Tools,9.2,308.9,S019,Y,0.97
P0048,Fasteners,95.85,275.17,S011,N,0.652
P0049,Industrial Supplies,79.79,104.81,S005,Y,0.239
P0050,Fasteners,46.2,132.45,S012,N,0.651
P0051,Maintenance,28.62,274.6,S003,Y,0.896
P0052,Tools,66.07,111.66,S001,Y,0.408
P0053,Tools,170.18,66.7,S001,Y,-1.551
P0054,Industrial Supplies,63.59,184.82,S008,N,0.656
P0055,Tools,97.23,300.53,S010,Y,0.676
P0056,Electrical,128.92,227.29,S011,Y,0.433
P0057,Tools,70.54,188.87,S012,N,0.627
