order_id,order_date,product_id,customer_id,quantity,discount_rate,unit_price,revenue,cogs,gross_margin
O000001,2024-08-02,P0059,C0048,8,0.116,179.08,1432.64,1388.32,44.32
O000002,2024-08-11,P0063,C0035,9,0.135,244.45,2200.05,512.91,1687.14
O000003,2024-02-15,P0077,C0060,10,0.059,215.58,2155.8,488.7,1667.1
O000004,2024-07-06,P0120,C0045,11,0.106,208.26,2290.86,247.17,2043.69
O000005,2024-08-11,P0046,C0046,8,0.07,288.14,2305.12,1248.4,1056.72
O000006,2024-04-11,P0003,C0008,11,0.129,174.17,1915.87,676.39,1239.48
O000007,2024-04-23,P0074,C0044,4,0.03,162.92,651.68,198.52,453.16
O000008,2024-06-07,P0102,C0055,6,0.046,199.79,1198.74,953.4,245.34
O000009,2024-01-09,P0065,C0055,11,0.077,210.07,2310.77,1241.35,1069.42
O000010,2024-05-15,P0119,C0022,14,0.16,153.31,2146.34,1658.02,488.32
O000011,2024-03-29,P0120,C0021,12,0.103,208.96,2507.52,269.64,2237.88
O000012,2024-05-17,P0091,C0026,7,0.174,219.63,1537.41,672.56,864.85
O000013,2024-02-20,P0110,C0040,10,0.019,38.19,381.9,1623.2,-1241.3
O000014,2025-01-09,P0008,C0021,12,0.083,58.73,704.76,1070.64,-365.88
O000015,2024-09-06,P0051,C0025,9,0.075,254.01,2286.09,257.58,2028.51
O000016,2024-10-12,P0110,C0041,7,0.108,34.73,243.11,1136.24,-893.13
O000017,2024-11-27,P0106,C0001,5,0.146,96.93,484.65,517.45,-32.8
O000018,2024-07-28,P0081,C0006,11,0.151,109.99,1209.89,1286.67,-76.78
O000019,2024-02-06,P0073,C0023,14,0.121,150.27,2103.78,2485.42,-381.64
O000020,2024-08-13,P0006,C0051,7,0.115,192.37,1346.59,823.62,522.97
O000021,2024-09-03,P0107,C0023,7,0.171,213.49,1494.43,693.7,800.73
O000022,2024-11-09,P0089,C0043,9,0.069,22.62,203.58,1120.86,-917.28
O000023,2024-06-30,P0039,C0043,9,0.15,256.56,2309.04,1321.92,987.12
O000024,2024-02-23,P0113,C0023,11,0.166,225.15,2476.65,729.41,1747.24
O000025,2024-04-29,P0060,C0032,8,0.088,289.08,2312.64,410.48,1902.16
O000026,2024-06-01,P0028,C0030,9,0.131,180.32,1622.88,191.16,1431.72
O000027,2024-09-28,P0097,C0013,9,0.068,191.04,1719.36,1522.08,197.28
O000028,2024-08-27,P0054,C0043,14,0.029,179.46,2512.44,890.26,1622.18
O000029,2024-05-29,P0037,C0018,9,0.106,189.41,1704.69,1453.68,251.01
O000030,2025-02-18,P0009,C0023,7,0.035,175.98,1231.86,199.99,1031.87
O000031,2024-09-11,P0082,C0015,10,0.082,40.08,400.8,1001.5,-600.7
O000032,2024-04-09,P0056,C0033,7,0.157,191.61,1341.27,902.44,438.83
O000033,2024-02-12,P0059,C0021,8,0.015,199.54,1596.32,1388.32,208.0
O000034,2024-03-05,P0085,C0057,7,0.005,156.22,1093.54,442.19,651.35
O000035,2024-04-13,P0002,C0039,13,0.109,257.55,3348.15,246.09,3102.06
O000036,2024-03-08,P0061,C0023,5,0.06,54.27,271.35,467.65,-196.3
O000037,2024-03-19,P0058,C0027,8,0.075,41.29,330.32,1401.2,-1070.88
O000038,2024-04-29,P0107,C0045,7,0.073,238.73,1671.11,693.7,977.41
O000039,2024-03-13,P0060,C0044,11,0.016,311.9,3430.9,564.41,2866.49
O000040,2025-01-11,P0102,C0018,4,0.001,209.21,836.84,635.6,201.24
O000041,2024-02-03,P0040,C0024,8,0.162,256.39,2051.12,1297.04,754.08
O000042,2024-08-08,P0036,C0051,7,0.039,21.55,150.85,280.63,-129.78
O000043,2024-06-21,P0114,C0047,8,0.077,209.77,1678.16,544.48,1133.68
O000044,2025-02-16,P0107,C0040,6,0.175,212.46,1274.76,594.6,680.16
O000045,2024-02-17,P0037,C0051,11,0.149,180.3,1983.3,1776.72,206.58
O000046,2024-06-16,P0079,C0042,9,0.019,281.01,2529.09,641.34,1887.75
O000047,2025-02-11,P0092,C0007,7,0.092,113.37,793.59,328.72,464.87
O000048,2024-12-29,P0018,C0050,8,0.131,238.11,1904.88,212.48,1692.4
O000049,2024-12-09,P0098,C0048,7,0.126,35.86,251.02,221.55,29.47
O000050,2024-04-18,P0063,C0020,15,0.137,243.88,3658.2,854.85,2803.35
O000051,2024-03-12,P0022,C0027,10,0.082,116.72,1167.2,954.7,212.5
O000052,2024-10-07,P0011,C0006,8,0.032,207.01,1656.08,1110.88,545.2
O000053,2025-01-25,P0058,C0027,9,0.084,40.89,368.01,1576.35,-1208.34
O000054,2024-08-21,P0057,C0009,9,0.117,166.77,1500.93,634.86,866.07
O000055,2024-08-28,P0077,C0053,13,0.11,203.9,2650.7,635.31,2015.39
O000056,2024-04-27,P0004,C0045,11,0.013,17.58,193.38,703.23,-509.85
O000057,2024-11-19,P0086,C0057,12,0.012,178.34,2140.08,480.96,1659.12
O000058,2024-03-19,P0007,C0031,10,0.174,13.66,136.6,1606.0,-1469.4
O000059,2024-05-15,P0061,C0021,6,0.027,56.17,337.02,561.18,-224.16
O000060,2024-06-27,P0107,C0026,7,0.053,243.88,1707.16,693.7,1013.46
O000061,2024-08-01,P0054,C0040,9,0.138,159.31,1433.79,572.31,861.48
O000062,2024-04-11,P0088,C0048,7,0.074,180.76,1265.32,767.41,497.91
O000063,2024-02-18,P0068,C0045,11,0.033,101.1,1112.1,615.23,496.87
O000064,2024-09-13,P0092,C0013,11,0.084,114.37,1258.07,516.56,741.51
O000065,2024-05-01,P0079,C0049,8,0.102,257.23,2057.84,570.08,1487.76
O000066,2024-09-01,P0001,C0023,9,0.081,59.09,531.81,584.19,-52.38
O000067,2024-03-05,P0055,C0020,13,0.165,250.94,3262.22,1263.99,1998.23
O000068,2024-07-21,P0003,C0037,9,0.051,189.76,1707.84,553.41,1154.43
O000069,2024-08-11,P0078,C0054,9,0.119,227.05,2043.45,1199.25,844.2
O000070,2024-01-22,P0038,C0053,13,0.02,67.64,879.32,1310.01,-430.69
O000071,2024-05-21,P0114,C0028,6,0.071,211.13,1266.78,408.36,858.42
O000072,2024-02-26,P0001,,7,0.133,55.75,390.25,454.37,-64.12
O000073,2024-01-27,P0102,C0028,10,0.04,201.04,2010.4,1589.0,421.4
O000074,2025-02-19,P0038,C0041,9,0.106,61.7,555.3,906.93,-351.63
O000075,2024-05-15,P0085,C0002,14,0.028,152.61,2136.54,884.38,1252.16
O000076,2024-12-06,P0112,C0025,-1,0.018,303.06,1818.36,701.34,1117.02
O000077,2024-04-16,P0029,C0058,9,0.094,233.22,2098.98,520.56,1578.42
O000078,2024-10-13,P0005,C0050,5,0.122,40.34,201.7,667.45,-465.75
O000079,2024-11-15,P0113,C0041,4,0.02,264.57,1058.28,265.24,793.04
O000080,2024-09-07,P0074,C0006,14,0.165,140.25,1963.5,694.82,1268.68
O000081,2024-07-17,P0092,C0011,7,0.041,119.74,838.18,328.72,509.46
O000082,2024-06-21,P0021,C0057,8,0.022,42.61,340.88,496.56,-155.68
O000083,2024-05-26,P0114,C0038,11,0.036,219.09,2409.99,748.66,1661.33
O000084,2025-01-25,P0071,,8,0.031,270.8,2166.4,263.36,1903.04
O000085,2024-12-14,P0067,C0045,9,0.016,122.65,1103.85,151.65,952.2
O000086,2025-02-09,P0109,C0011,9,0.144,127.45,1147.05,216.09,930.96
O000087,2024-02-22,P0047,C0014,8,0.089,281.41,2251.28,73.6,2177.68
O000088,2024-11-02,P0084,C0002,9,0.07,24.14,217.26,1365.03,-1147.77
O000089,2025-01-29,P0083,C0040,9,0.171,158.65,1427.85,211.77,1216.08
O000090,2024-03-17,P0035,C0003,10,0.067,93.9,939.0,1462.3,-523.3
O000091,2024-01-28,P0068,C0055,7,0.03,101.41,709.87,391.51,318.36
O000092,2024-11-07,P0069,C0053,9,0.049,249.03,2241.27,1477.98,763.29
O000093,2024-08-29,P0001,C0035,12,0.043,61.54,738.48,778.92,-40.44
O000094,2024-12-19,P0068,C0033,13,0.09,95.14,1236.82,727.09,509.73
O000095,2024-02-28,P0012,C0024,8,0.052,79.06,632.48,836.32,-203.84
O000096,2024-11-30,P0060,C0019,10,0.093,287.49,2874.9,513.1,2361.8
O000097,2024-03-25,P0027,C0018,7,0.12,252.62,1768.34,331.45,1436.89
O000098,2024-03-09,P0056,C0049,10,0.14,195.47,1954.7,1289.2,665.5
O000099,2024-03-09,P0106,C0052,6,0.128,98.97,593.82,620.94,-27.12
O000100,2024-12-08,P0023,C0024,14,0.037,92.34,1292.76,2297.4,-1004.64
O000101,2024-10-06,P0025,,13,0.021,305.22,3967.86,1021.67,2946.19
O000102,2024-08-07,P0021,C0035,9,0.098,39.3,353.7,558.63,-204.93
O000103,2024-05-30,P0061,C0001,9,0.036,55.65,500.85,841.77,-340.92
O000104,2025-01-03,P0063,C0036,6,0.015,278.36,1670.16,341.94,1328.22
O000105,2024-06-13,P0052,C0025,10,0.095,101.05,1010.5,660.7,349.8
O000106,2024-12-08,P0088,C0045,4,0.059,183.68,734.72,438.52,296.2
O000107,2024-07-03,P0025,C0049,9,0.136,269.37,2424.33,707.31,1717.02
O000108,2024-06-07,P0109,C0060,11,0.057,140.4,1544.4,264.11,1280.29
O000109,2024-07-13,P0055,C0043,9,0.176,247.64,2228.76,875.07,1353.69
O000110,2024-05-06,P0046,C0034,14,0.137,267.38,3743.32,2184.7,1558.62
O000111,2024-11-09,P0032,C0025,4,0.01,163.57,654.28,588.0,66.28
O000112,2024-07-30,P0055,C0016,10,0.092,272.88,2728.8,972.3,1756.5
O000113,2024-04-07,P0096,C0034,5,0.101,72.67,363.35,372.6,-9.25
O000114,2025-01-12,P0005,C0029,13,0.125,40.21,522.73,1735.37,-1212.64
O000115,2024-06-10,P0036,C0019,9,0.09,20.4,183.6,360.81,-177.21
O000116,2024-08-16,P0110,C0023,7,0.087,35.54,248.78,1136.24,-887.46
O000117,2025-01-15,P0106,C0019,9,0.066,106.01,954.09,931.41,22.68
O000118,2024-09-19,P0049,C0025,9,0.049,99.67,897.03,718.11,178.92
O000119,2024-02-19,P0106,C0016,8,0.17,94.2,753.6,827.92,-74.32
O000120,2025-01-29,P0058,C0054,10,0.057,42.1,421.0,1751.5,-1330.5
O000121,2024-09-20,P0039,C0051,10,0.011,298.52,2985.2,1468.8,1516.4
O000122,2024-05-20,P0080,C0009,7,0.03,114.55,801.85,817.32,-15.47
O000123,2024-02-28,P0097,C0001,6,0.154,173.41,1040.46,1014.72,25.74
O000124,2024-11-29,P0113,C0042,8,0.106,241.35,1930.8,530.48,1400.32
O000125,2024-09-17,P0085,C0019,9,0.14,135.03,1215.27,568.53,646.74
O000126,2024-08-12,P0061,C0033,-1,0.146,49.3,443.7,841.77,-398.07
O000127,2025-01-10,P0009,C0034,8,0.148,155.37,1242.96,228.56,1014.4
O000128,2024-11-27,P0006,C0016,9,0.099,195.85,1762.65,1058.94,703.71
O000129,2024-03-04,P0115,C0044,6,0.032,135.26,811.56,797.16,14.4
O000130,2024-05-10,P0109,C0040,13,0.027,144.87,1883.31,312.13,1571.18
O000131,2024-04-14,P0035,C0055,8,0.103,90.27,722.16,1169.84,-447.68
O000132,2024-11-08,P0039,C0018,11,0.066,281.92,3101.12,1615.68,1485.44
O000133,2024-01-15,P0022,C0034,6,0.1,114.44,686.64,572.82,113.82
O000134,2024-08-27,P0041,C0025,9,0.09,267.57,2408.13,564.3,1843.83
O000135,2024-11-16,P0118,C0045,7,0.108,81.46,570.22,994.98,-424.76
O000136,2025-01-03,P0005,C0006,7,0.006,45.67,319.69,934.43,-614.74
O000137,2024-05-23,P0042,C0021,12,0.006,127.13,1525.56,323.16,1202.4
O000138,2024-12-10,P0087,C0058,11,0.13,89.09,979.99,165.11,814.88
O000139,2024-02-16,P0081,C0006,10,0.035,125.02,1250.2,1169.7,80.5
O000140,2024-12-21,P0076,C0032,10,0.117,188.29,1882.9,1390.0,492.9
O000141,2024-02-23,P0087,C0041,10,0.098,92.36,923.6,150.1,773.5
O000142,2024-06-15,P0080,C0048,6,0.177,97.19,583.14,700.56,-117.42
O000143,2024-11-30,P0067,C0043,12,0.15,105.94,1271.28,202.2,1069.08
O000144,2024-03-03,P0030,C0039,8,0.074,155.85,1246.8,285.84,960.96
O000145,2024-04-06,P0057,C0031,7,0.111,167.91,1175.37,493.78,681.59
O000146,2024-10-30,P0086,C0042,6,0.021,176.72,1060.32,240.48,819.84
O000147,2024-10-29,P0073,C0010,11,0.07,158.99,1748.89,1952.83,-203.94
