product_id,order_month,monthly_units,monthly_revenue,avg_unit_price,avg_discount,gross_margin,category,supplier_id,margin_rate,lag_1_units,rolling_3mo_units,forecast_ready_flag
P0001,2024-01,28,1579.6399999999999,56.35,0.12366666666666666,-237.83999999999997,Fasteners,S008,-0.009,,28.0,0
P0001,2024-02,17,1005.46,58.22,0.0945,-98.01,Fasteners,S008,-0.009,28.0,22.5,1
P0001,2024-03,11,628.1,57.1,0.112,-85.91,Fasteners,S008,-0.009,17.0,18.666666666666668,1
P0001,2024-04,14,849.8,60.7,0.055999999999999994,-58.94,Fasteners,S008,-0.009,11.0,14.0,1
P0001,2024-05,19,1188.46,62.625,0.026000000000000002,-44.83,Fasteners,S008,-0.009,14.0,14.666666666666666,1
P0001,2024-07,6,321.78,53.63,0.166,-67.68,Fasteners,S008,-0.009,19.0,13.0,1
P0001,2024-08,12,738.48,61.54,0.043,-40.44,Fasteners,S008,-0.009,6.0,12.333333333333334,1
P0001,2024-09,18,1080.9899999999998,60.05500000000001,0.066,-87.39,Fasteners,S008,-0.009,12.0,12.0,1
P0001,2024-11,21,1211.1599999999999,57.835,0.1005,-151.95,Fasteners,S008,-0.009,18.0,17.0,1
P0001,2024-12,6,329.1,54.85,0.147,-60.36,Fasteners,S008,-0.009,21.0,15.0,1
P0001,2025-02,13,774.02,59.54,0.074,-69.81,Fasteners,S008,-0.009,6.0,13.333333333333334,1
P0002,2024-01,11,3004.76,273.16,0.055,2796.53,Electrical,S013,0.935,,11.0,0
P0002,2024-02,6,1696.2,282.7,0.022,1582.62,Electrical,S013,0.935,11.0,8.5,1
P0002,2024-03,23,6128.4,267.96,0.07300000000000001,5693.01,Electrical,S013,0.935,6.0,13.333333333333334,1
P0002,2024-04,13,3348.15,257.55,0.109,3102.06,Electrical,S013,0.935,23.0,14.0,1
P0002,2024-05,7,1792.77,256.11,0.114,1660.26,Electrical,S013,0.935,13.0,14.333333333333334,1
P0002,2024-06,22,5896.26,267.815,0.07350000000000001,5479.799999999999,Electrical,S013,0.935,7.0,14.0,1
P0002,2024-08,15,3776.55,251.77,0.129,3492.6,Electrical,S013,0.935,22.0,14.666666666666666,1
P0002,2024-09,22,5659.84,257.40999999999997,0.1095,5243.379999999999,Electrical,S013,0.935,15.0,19.666666666666668,1
P0002,2024-11,18,4770.12,267.815,0.0735,4429.38,Electrical,S013,0.935,22.0,18.333333333333332,1
P0002,2024-12,22,5432.08,246.86,0.146,5015.62,Electrical,S013,0.935,18.0,20.666666666666668,1
P0002,2025-01,9,2284.11,253.79,0.122,2113.74,Electrical,S013,0.935,22.0,16.333333333333332,1
P0003,2024-01,4,718.24,179.56,0.102,472.28,Safety,S001,0.692,,4.0,0
P0003,2024-02,15,2729.4,181.96,0.09,1807.05,Safety,S001,0.692,4.0,9.5,1
P0003,2024-03,23,3851.2599999999998,168.9,0.15533333333333332,2436.99,Safety,S001,0.692,15.0,14.0,1
P0003,2024-04,11,1915.87,174.17,0.129,1239.48,Safety,S001,0.692,23.0,16.333333333333332,1
P0003,2024-05,8,1364.56,170.57,0.147,872.64,Safety,S001,0.692,11.0,14.0,1
P0003,2024-06,8,1486.08,185.76,0.071,994.16,Safety,S001,0.692,8.0,9.0,1
P0003,2024-07,15,2764.8,182.95999999999998,0.08499999999999999,1842.45,Safety,S001,0.692,8.0,10.333333333333334,1
P0003,2024-08,8,1529.28,191.16,0.044,1037.36,Safety,S001,0.692,15.0,10.333333333333334,1
P0003,2024-09,9,1725.84,191.76,0.041,1172.43,Safety,S001,0.692,8.0,10.666666666666666,1
P0003,2024-10,34,5860.07,172.16666666666666,0.139,3769.41,Safety,S001,0.692,9.0,17.0,1
P0003,2024-12,7,1328.32,189.76,0.051,897.89,Safety,S001,0.692,34.0,16.666666666666668,1
P0004,2024-01,16,249.42,15.594999999999999,0.1245,-773.46,,S016,-2.59,,16.0,0
P0004,2024-02,20,334.98,16.799999999999997,0.0565,-943.62,,S016,-2.59,16.0,18.0,1
P0004,2024-03,41,657.1800000000001,15.972,0.1032,-1963.95,,S016,-2.59,20.0,25.666666666666668,1
P0004,2024-04,20,339.72,16.92,0.049999999999999996,-938.88,,S016,-2.59,41.0,27.0,1
P0004,2024-05,5,74.35,14.87,0.165,-245.3,,S016,-2.59,20.0,22.0,1
P0004,2024-06,15,240.35,16.134999999999998,0.094,-718.6,,S016,-2.59,5.0,13.333333333333334,1
P0004,2024-07,9,132.21,14.69,0.175,-443.16,,S016,-2.59,15.0,9.666666666666666,1
P0004,2024-08,28,443.11,15.746666666666664,0.11566666666666665,-1346.9299999999998,,S016,-2.59,9.0,17.333333333333332,1
P0004,2024-09,8,125.36,15.67,0.12,-386.08,,S016,-2.59,28.0,15.0,1
P0004,2024-10,6,99.36,16.56,0.07,-284.22,,S016,-2.59,8.0,14.0,1
P0004,2024-11,19,291.83000000000004,15.36,0.1375,-922.84,,S016,-2.59,6.0,11.0,1
P0004,2024-12,20,329.53,16.505,0.073,-949.0699999999999,,S016,-2.59,19.0,15.0,1
P0004,2025-01,9,150.84,16.76,0.059,-424.53,,S016,-2.59,20.0,16.0,1
P0004,2025-02,9,142.47,15.83,0.111,-432.9,,S016,-2.59,9.0,12.666666666666666,1
P0005,2024-01,7,300.72,42.96,0.065,-633.71,Electrical,S007,-1.905,,7.0,0
P0005,2024-02,7,271.18,38.74,0.157,-663.25,Electrical,S007,-1.905,7.0,7.0,1
P0005,2024-03,14,613.0799999999999,43.26,0.0585,-1255.78,Electrical,S007,-1.905,7.0,9.333333333333334,1
P0005,2024-05,15,643.8,42.92,0.066,-1358.55,Electrical,S007,-1.905,14.0,12.0,1
P0005,2024-07,9,399.51,44.39,0.034,-801.9,Electrical,S007,-1.905,15.0,12.666666666666666,1
P0005,2024-08,11,414.92,37.72,0.179,-1053.47,Electrical,S007,-1.905,9.0,11.666666666666666,1
P0005,2024-10,5,201.7,40.34,0.122,-465.75,Electrical,S007,-1.905,11.0,8.333333333333334,1
P0005,2024-11,21,858.6,40.715,0.114,-1944.69,Electrical,S007,-1.905,5.0,12.333333333333334,1
P0005,2024-12,4,151.28,37.82,0.177,-382.68,Electrical,S007,-1.905,21.0,10.0,1
P0005,2025-01,20,842.4200000000001,42.94,0.0655,-1827.38,Electrical,S007,-1.905,4.0,15.0,1
P0005,2025-02,9,359.37,39.93,0.131,-842.04,Electrical,S007,-1.905,20.0,11.0,1
P0006,2024-02,16,3271.02,204.765,0.057999999999999996,1388.46,Tools,S005,0.459,,16.0,0
P0006,2024-03,5,1022.75,204.55,0.059,434.45,Tools,S005,0.459,16.0,10.5,1
P0006,2024-04,18,3729.8599999999997,208.35000000000002,0.0415,1611.98,Tools,S005,0.459,5.0,13.0,1
P0006,2024-06,16,3372.22,211.28,0.028,1489.6599999999999,Tools,S005,0.459,18.0,13.0,1
P0006,2024-07,22,4451.54,201.82999999999998,0.07150000000000001,1863.02,Tools,S005,0.459,16.0,18.666666666666668,1
P0006,2024-08,33,6315.549999999999,192.8575,0.11275,2432.77,Tools,S005,0.459,22.0,23.666666666666668,1
P0006,2024-09,14,2759.08,199.22,0.08349999999999999,1111.84,Tools,S005,0.459,33.0,23.0,1
P0006,2024-11,14,2726.7,194.32999999999998,0.10600000000000001,1079.46,Tools,S005,0.459,14.0,20.333333333333332,1
P0006,2024-12,41,8144.200000000001,199.372,0.08280000000000001,3320.1400000000003,Tools,S005,0.459,14.0,23.0,1
P0006,2025-02,10,2021.5,202.15,0.07,844.9,Tools,S005,0.459,41.0,21.666666666666668,1
