order_month,category,revenue,gross_margin,orders,units,avg_discount,gross_margin_rate
2024-01,Electrical,19516.33,6553.86,24,195,0.08474999999999999,0.3358
2024-01,Fasteners,84303.0,34522.78,50,468,0.09449999999999999,0.4095
2024-01,Industrial Supplies,49005.96,28901.16,30,275,0.0826,0.5897
2024-01,Maintenance,45521.52,26975.25,29,246,0.11137931034482759,0.5926
2024-01,Safety,23068.69,4724.78,21,190,0.07709523809523809,0.2048
2024-01,Tools,38590.45,14484.14,26,246,0.09046153846153845,0.3753
2024-01,,26475.57,7982.360000000001,19,200,0.10957894736842104,0.3015
2024-02,Electrical,12959.72,1711.95,17,141,0.10035294117647059,0.1321
2024-02,Fasteners,69193.5,25208.59,46,380,0.10030434782608695,0.3643
2024-02,Industrial Supplies,26680.86,9506.32,22,170,0.0834090909090909,0.3563
2024-02,Maintenance,27137.47,10511.99,23,195,0.08339130434782609,0.3874
2024-02,Safety,25238.52,5640.209999999999,23,209,0.10204347826086957,0.2235
2024-02,Tools,37821.42,13127.48,25,232,0.07476,0.3471
2024-02,,23425.57,10102.89,18,164,0.0955,0.4313
2024-03,Electrical,22429.26,4724.990000000001,20,189,0.0901,0.2107
2024-03,Fasteners,56489.32,21120.73,37,339,0.07894594594594594,0.3739
2024-03,Industrial Supplies,41063.29,20441.47,25,242,0.0964,0.4978
2024-03,Maintenance,34134.43,15372.92,20,200,0.08385000000000001,0.4504
2024-03,Safety,20810.23,3297.1499999999996,19,163,0.07989473684210527,0.1584
2024-03,Tools,41108.09,16590.63,27,245,0.0848888888888889,0.4036
2024-03,,13012.8,6170.5599999999995,14,128,0.09771428571428571,0.4742
2024-04,Electrical,26870.09,9833.15,21,225,0.08980952380952381,0.366
2024-04,Fasteners,65547.64,27541.73,44,399,0.08070454545454546,0.4202
2024-04,Industrial Supplies,40238.57,19894.42,30,277,0.0933,0.4944
2024-04,Maintenance,38703.93,23939.01,25,225,0.08928000000000001,0.6185
2024-04,Safety,23800.0,8543.39,16,154,0.09975,0.359
2024-04,Tools,35438.8,12790.83,25,229,0.08439999999999999,0.3609
2024-04,,22046.43,6044.83,20,194,0.07135,0.2742
2024-05,Electrical,25917.45,8522.4,21,193,0.08847619047619049,0.3288
2024-05,Fasteners,67543.08,29905.2,43,395,0.08195348837209303,0.4428
2024-05,Industrial Supplies,40763.38,19127.61,27,239,0.08855555555555555,0.4692
2024-05,Maintenance,39715.97,21355.96,21,199,0.09076190476190475,0.5377
2024-05,Safety,19461.86,-2910.1099999999997,23,194,0.10256521739130435,-0.1495
2024-05,Tools,30535.36,8143.21,21,202,0.061952380952380946,0.2667
2024-05,,17497.72,5069.36,15,127,0.09893333333333333,0.2897
2024-06,Electrical,27005.54,8778.529999999999,22,193,0.08086363636363637,0.3251
2024-06,Fasteners,64517.98,25388.579999999998,38,352,0.08176315789473683,0.3935
2024-06,Industrial Supplies,48710.33,29025.84,29,280,0.09865517241379311,0.5959
2024-06,Maintenance,37681.78,20497.97,25,210,0.08308,0.544
2024-06,Safety,13320.34,-1415.8399999999995,15,139,0.07833333333333334,-0.1063
2024-06,Tools,38546.5,21798.21,26,208,0.05923076923076923,0.5655
2024-06,,15189.7,3333.5800000000004,14,129,0.06192857142857143,0.2195
2024-07,Electrical,24029.21,7101.37,21,192,0.06395238095238095,0.2955
2024-07,Fasteners,55822.85,17548.3,38,342,0.09381578947368421,0.3144
2024-07,Industrial Supplies,43752.15,22091.7,27,263,0.0808888888888889,0.5049
2024-07,Maintenance,37185.1,16106.17,27,236,0.09625925925925927,0.4331
2024-07,Safety,15938.91,-3736.45,18,154,0.09277777777777778,-0.2344
2024-07,Tools,52686.68,14841.15,34,333,0.09288235294117647,0.2817
2024-07,,9732.54,4129.62,10,87,0.12369999999999999,0.4243
2024-08,Electrical,21065.48,4385.62,23,211,0.1095217391304348,0.2082
2024-08,Fasteners,61091.36,25807.989999999998,39,329,0.10084615384615384,0.4224
2024-08,Industrial Supplies,32845.33,19364.63,19,173,0.06389473684210527,0.5896
2024-08,Maintenance,34106.12,18596.95,20,192,0.0876,0.5453
2024-08,Safety,18859.63,4099.15,18,163,0.09955555555555556,0.2174
2024-08,Tools,46244.58,21908.51,31,286,0.09287096774193548,0.4738
